ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F8BAE76E47971E387C63F6037790D628,F8BAE76E47971E38C37EE47E3D98B860,2021-01-05 00:00:00,001,颗粒物,2.93,20,,0,0,2021-01-06T09:20:53.783,2021-01-06T09:21:01.16,20210105
F8BAE76E47971E387C63F6037790D628,F8BAE76E47971E38C37EE47E3D98B860,2021-01-05 00:00:00,002,二氧化硫,12.93,80,,0,0,2021-01-06T09:20:53.783,2021-01-06T09:21:01.16,20210105
F8BAE76E47971E387C63F6037790D628,F8BAE76E47971E38C37EE47E3D98B860,2021-01-05 00:00:00,003,氮氧化物,101.77,250,,0,0,2021-01-06T09:20:53.783,2021-01-06T09:21:01.16,20210105
F8BAE76E47971E387C63F6037790D628,F8BAE76E47971E38C37EE47E3D98B860,2021-01-05 00:00:00,004,一氧化碳,18.94,80,,0,0,2021-01-06T09:20:53.783,2021-01-06T09:21:01.16,20210105
F8BAE76E47971E387C63F6037790D628,F8BAE76E47971E38C37EE47E3D98B860,2021-01-05 00:00:00,008,氯化氢,15.38,50,,0,0,2021-01-06T09:20:53.783,2021-01-06T09:21:01.16,20210105
F8BAE76E47971E387C63F6037790D628,F8BAE76E47971E38EDB742DAC3D77B69,2021-01-05 00:00:00,001,颗粒物,,20,,0,0,2021-01-06T09:20:53.783,2021-01-06T09:20:53.783,20210105
F8BAE76E47971E387C63F6037790D628,F8BAE76E47971E38EDB742DAC3D77B69,2021-01-05 00:00:00,002,二氧化硫,,80,,0,0,2021-01-06T09:20:53.783,2021-01-06T09:20:53.783,20210105
F8BAE76E47971E387C63F6037790D628,F8BAE76E47971E38EDB742DAC3D77B69,2021-01-05 00:00:00,003,氮氧化物,,250,,0,0,2021-01-06T09:20:53.783,2021-01-06T09:20:53.783,20210105
F8BAE76E47971E387C63F6037790D628,F8BAE76E47971E38EDB742DAC3D77B69,2021-01-05 00:00:00,004,一氧化碳,,80,,0,0,2021-01-06T09:20:53.783,2021-01-06T09:20:53.783,20210105
F8BAE76E47971E387C63F6037790D628,F8BAE76E47971E38EDB742DAC3D77B69,2021-01-05 00:00:00,008,氯化氢,,50,,0,0,2021-01-06T09:20:53.783,2021-01-06T09:20:53.783,20210105
