ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
59767CBE8A83398DEE9E039C33529FF7,59767CBE8A83398D8F2F4B31CAE2A258,2021-01-20 00:00:00,001,颗粒物,2.33,20,,0,0,2021-01-21T09:21:55.263,2021-01-21T09:22:04.45,20210120
59767CBE8A83398DEE9E039C33529FF7,59767CBE8A83398D8F2F4B31CAE2A258,2021-01-20 00:00:00,002,二氧化硫,53.36,80,,0,0,2021-01-21T09:21:55.263,2021-01-21T09:22:04.45,20210120
59767CBE8A83398DEE9E039C33529FF7,59767CBE8A83398D8F2F4B31CAE2A258,2021-01-20 00:00:00,003,氮氧化物,178.88,250,,0,0,2021-01-21T09:21:55.263,2021-01-21T09:22:04.45,20210120
59767CBE8A83398DEE9E039C33529FF7,59767CBE8A83398D8F2F4B31CAE2A258,2021-01-20 00:00:00,004,一氧化碳,13.71,80,,0,0,2021-01-21T09:21:55.263,2021-01-21T09:22:04.45,20210120
59767CBE8A83398DEE9E039C33529FF7,59767CBE8A83398D8F2F4B31CAE2A258,2021-01-20 00:00:00,008,氯化氢,16.0,50,,0,0,2021-01-21T09:21:55.263,2021-01-21T09:22:04.45,20210120
59767CBE8A83398DEE9E039C33529FF7,59767CBE8A83398D0122E427614E86FF,2021-01-20 00:00:00,001,颗粒物,,20,,0,0,2021-01-21T09:21:55.263,2021-01-21T09:21:55.263,20210120
59767CBE8A83398DEE9E039C33529FF7,59767CBE8A83398D0122E427614E86FF,2021-01-20 00:00:00,002,二氧化硫,,80,,0,0,2021-01-21T09:21:55.263,2021-01-21T09:21:55.263,20210120
59767CBE8A83398DEE9E039C33529FF7,59767CBE8A83398D0122E427614E86FF,2021-01-20 00:00:00,003,氮氧化物,,250,,0,0,2021-01-21T09:21:55.263,2021-01-21T09:21:55.263,20210120
59767CBE8A83398DEE9E039C33529FF7,59767CBE8A83398D0122E427614E86FF,2021-01-20 00:00:00,004,一氧化碳,,80,,0,0,2021-01-21T09:21:55.263,2021-01-21T09:21:55.263,20210120
59767CBE8A83398DEE9E039C33529FF7,59767CBE8A83398D0122E427614E86FF,2021-01-20 00:00:00,008,氯化氢,,50,,0,0,2021-01-21T09:21:55.263,2021-01-21T09:21:55.263,20210120
