ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
7A6222977FCB34E9A58C4E9DCC3B5709,7A6222977FCB34E985220B392527E4BE,2021-01-26 00:00:00,001,颗粒物,0.82,20,,0,0,2021-01-27T09:21:01.287,2021-01-27T09:21:01.287,20210126
7A6222977FCB34E9A58C4E9DCC3B5709,7A6222977FCB34E985220B392527E4BE,2021-01-26 00:00:00,002,二氧化硫,10.64,80,,0,0,2021-01-27T09:21:01.287,2021-01-27T09:21:01.287,20210126
7A6222977FCB34E9A58C4E9DCC3B5709,7A6222977FCB34E985220B392527E4BE,2021-01-26 00:00:00,003,氮氧化物,138.59,250,,0,0,2021-01-27T09:21:01.287,2021-01-27T09:21:01.287,20210126
7A6222977FCB34E9A58C4E9DCC3B5709,7A6222977FCB34E985220B392527E4BE,2021-01-26 00:00:00,004,一氧化碳,1.35,80,,0,0,2021-01-27T09:21:01.287,2021-01-27T09:21:01.287,20210126
7A6222977FCB34E9A58C4E9DCC3B5709,7A6222977FCB34E985220B392527E4BE,2021-01-26 00:00:00,008,氯化氢,11.14,50,,0,0,2021-01-27T09:21:01.287,2021-01-27T09:21:01.287,20210126
7A6222977FCB34E9A58C4E9DCC3B5709,7A6222977FCB34E9A590191182713BC0,2021-01-26 00:00:00,001,颗粒物,0.29,20,,0,0,2021-01-27T09:21:01.287,2021-01-27T09:21:11.673,20210126
7A6222977FCB34E9A58C4E9DCC3B5709,7A6222977FCB34E9A590191182713BC0,2021-01-26 00:00:00,002,二氧化硫,6.76,80,,0,0,2021-01-27T09:21:01.287,2021-01-27T09:21:11.673,20210126
7A6222977FCB34E9A58C4E9DCC3B5709,7A6222977FCB34E9A590191182713BC0,2021-01-26 00:00:00,003,氮氧化物,190.2,250,,0,0,2021-01-27T09:21:01.287,2021-01-27T09:21:11.673,20210126
7A6222977FCB34E9A58C4E9DCC3B5709,7A6222977FCB34E9A590191182713BC0,2021-01-26 00:00:00,004,一氧化碳,2.85,80,,0,0,2021-01-27T09:21:01.287,2021-01-27T09:21:11.673,20210126
7A6222977FCB34E9A58C4E9DCC3B5709,7A6222977FCB34E9A590191182713BC0,2021-01-26 00:00:00,008,氯化氢,14.71,50,,0,0,2021-01-27T09:21:01.287,2021-01-27T09:21:11.673,20210126
