ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
9AE0E06952A9378719188E264F0CA994,9AE0E06952A93787331DEB659BC9DF9A,2021-01-07 00:00:00,001,颗粒物,4.15,20,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A93787331DEB659BC9DF9A,2021-01-07 00:00:00,002,二氧化硫,28.55,80,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A93787331DEB659BC9DF9A,2021-01-07 00:00:00,003,氮氧化物,129.84,250,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A93787331DEB659BC9DF9A,2021-01-07 00:00:00,004,一氧化碳,7.75,80,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A93787331DEB659BC9DF9A,2021-01-07 00:00:00,008,氯化氢,32.21,50,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A93787CD8132E83E451E37,2021-01-07 00:00:00,001,颗粒物,4.81,20,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A93787CD8132E83E451E37,2021-01-07 00:00:00,002,二氧化硫,15.42,80,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A93787CD8132E83E451E37,2021-01-07 00:00:00,003,氮氧化物,134.47,250,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A93787CD8132E83E451E37,2021-01-07 00:00:00,004,一氧化碳,11.7,80,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A93787CD8132E83E451E37,2021-01-07 00:00:00,008,氯化氢,32.42,50,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A9378753C50AFDF68372B7,2021-01-07 00:00:00,001,颗粒物,4.46,20,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A9378753C50AFDF68372B7,2021-01-07 00:00:00,002,二氧化硫,22.96,80,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A9378753C50AFDF68372B7,2021-01-07 00:00:00,003,氮氧化物,139.56,250,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A9378753C50AFDF68372B7,2021-01-07 00:00:00,004,一氧化碳,25.19,80,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
9AE0E06952A9378719188E264F0CA994,9AE0E06952A9378753C50AFDF68372B7,2021-01-07 00:00:00,008,氯化氢,31.6,50,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
