ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F465BC2187E4301E31,2021-01-07 00:00:00,001,颗粒物,7.25,20,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F465BC2187E4301E31,2021-01-07 00:00:00,002,二氧化硫,22.93,80,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F465BC2187E4301E31,2021-01-07 00:00:00,003,氮氧化物,198.34,250,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F465BC2187E4301E31,2021-01-07 00:00:00,004,一氧化碳,5.45,80,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F465BC2187E4301E31,2021-01-07 00:00:00,008,氯化氢,7.34,50,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F4C7B47AF0A689E385,2021-01-07 00:00:00,001,颗粒物,7.08,20,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F4C7B47AF0A689E385,2021-01-07 00:00:00,002,二氧化硫,52.39,80,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F4C7B47AF0A689E385,2021-01-07 00:00:00,003,氮氧化物,172.87,250,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F4C7B47AF0A689E385,2021-01-07 00:00:00,004,一氧化碳,2.51,80,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F4C7B47AF0A689E385,2021-01-07 00:00:00,008,氯化氢,7.92,50,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F4C7C2866E8258E59D,2021-01-07 00:00:00,001,颗粒物,8.1,20,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F4C7C2866E8258E59D,2021-01-07 00:00:00,002,二氧化硫,46.5,80,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F4C7C2866E8258E59D,2021-01-07 00:00:00,003,氮氧化物,190.41,250,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F4C7C2866E8258E59D,2021-01-07 00:00:00,004,一氧化碳,5.32,80,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
8F3EAC9171F405F4214937767A475EA5,8F3EAC9171F405F4C7C2866E8258E59D,2021-01-07 00:00:00,008,氯化氢,10.62,50,,0,0,2021-01-08T09:20:53.5,2021-01-08T09:21:04.39,20210107
